"Id","organizationname","departmentname","jobname"
2261,Scarborough Health Network,C RES CENTRE - SUPPORT SERV,"DIRECTOR, SUPPORT SVC & BUSINESS DEVELOPMENT"
2263,Scarborough Health Network,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES REPRESENTATIVE
2264,Scarborough Health Network,ENVIRONMENTAL SERVICES,"MANAGER, ENVIRONMENTAL SERVICES"
2265,Scarborough Health Network,ENVIRONMENTAL SERVICES,"SUPERVISOR, ENVIRONMENTAL SERVICES"
2266,Scarborough Health Network,PATIENT FLOW & DISCHARGE,PATIENT FLOW COORDINATOR
2267,Scarborough Health Network,PATIENT FLOW & DISCHARGE,UTILIZATION CASE COORDINATOR
2268,Scarborough Health Network,PATIENT TRANSPORT,"MANAGER, PATIENT PORTERING, LINEN & MAILROOM"
2269,Scarborough Health Network,PATIENT TRANSPORT,"SUPERVISOR, PATIENT TRANSPORT"
2270,Scarborough Health Network,PATIENT TRANSPORT,TRANSPORT SERVICES REPRESENTATIVE
2271,Scarborough Health Network,PT FLOW COM LIAISON NRT,"DIRECTOR, PATIENT FLOW"
2272,Scarborough Health Network,PT FLOW COM LIAISON NRT,"MANAGER, PATIENT FLOW"
2274,Scarborough Health Network,SURGICAL SUITES,PERSONAL SUPPORT WORKER
2275,Scarborough Health Network,ACCOUNTS RECEIVABLE,ACCOUNTS RECEIVABLE CLERK
2276,Scarborough Health Network,ACCOUNTS RECEIVABLE,"SUPERVISOR, ACCOUNTS RECIEVABLE"
2277,Scarborough Health Network,FINANCE (GENERAL ACCOUNTING),ACCOUNTING SUPPORT ANALYST
2278,Scarborough Health Network,FINANCE (GENERAL ACCOUNTING),DEPUTY CHIEF FINANCIAL OFFICER
2279,Scarborough Health Network,FINANCE (GENERAL ACCOUNTING),"DIRECTOR, FINANCE"
2280,Scarborough Health Network,FINANCE (GENERAL ACCOUNTING),FINANCIAL ANALYST
2281,Scarborough Health Network,FINANCE (GENERAL ACCOUNTING),"MANAGER, ACCOUNTING"
2282,Scarborough Health Network,FINANCE (GENERAL ACCOUNTING),"MANAGER, BUDGETING & REPORTING"
2283,Scarborough Health Network,FINANCE (GENERAL ACCOUNTING),SENIOR FINANCIAL ANALYST
2285,Scarborough Health Network,C HEALTH RECORDS,CLERK 2 - HEALTH RECORDS
2286,Scarborough Health Network,C HEALTH RECORDS,CHART MANAGEMENT SPECIALIST
2287,Scarborough Health Network,C HEALTH RECORDS,HEALTH RECORDS DATA ANALYST
2288,Scarborough Health Network,C HEALTH RECORDS,HIM CODER
2289,Scarborough Health Network,C HEALTH RECORDS,PERFORMANCE EVALUATION SPECIALIST
2290,Scarborough Health Network,HEALTH DATA RESOURCES,HEALTH RECORDS COORDINATOR
2291,Scarborough Health Network,HEALTH DATA RESOURCES,HIM CODER
2292,Scarborough Health Network,HEALTH INFORMATION RESOURCE CENTRE,"LEAD, LIBRARY SERVICES"
2293,Scarborough Health Network,HEALTH INFORMATION RESOURCE CENTRE,LIBRARY TECHNICIAN
2294,Scarborough Health Network,HEALTH RECORDS PROCESSING,HEALTH RECORDS CLERK 4
2296,Scarborough Health Network,HEALTH RECORDS PROCESSING,"MANAGER, HEALTH RECORD SERVICES"
2297,Scarborough Health Network,HEALTH RECORDS PROCESSING,RELEASE OF INFORMATION SPECIALIST
2298,Scarborough Health Network,HEALTH RECORDS PROCESSING,"SUPERVISOR, HEALTH RECORDS -CLERICAL & TRANSCRIPTION"
2299,Scarborough Health Network,HEALTH RECORDS TRANSCRIPTION,MEDICAL DICTA TYPIST
2300,Scarborough Health Network,SHN C HEALTH RECORDS TRANSCRIPTION,CDI SPECIALIST
2301,Scarborough Health Network,SHN C HEALTH RECORDS TRANSCRIPTION,"MANAGER, CODING"
2302,Scarborough Health Network,SHN C HEALTH RECORDS TRANSCRIPTION,MEDICAL DICTA TYPIST
2303,Scarborough Health Network,BR ENDOSCOPY,PATIENT CARE COORDINATOR
2304,Scarborough Health Network,ENDOSCOPY,UNIT CLERK 4
2305,Scarborough Health Network,MH - MOBILE CRISIS,SOCIAL WORKER - M.S.W.
2307,Scarborough Health Network,BR 3B PSYCH BIRCHMOUNT,PATIENT CARE COORDINATOR
2308,Scarborough Health Network,BR 3B PSYCH BIRCHMOUNT,REGISTERED NURSE
2309,Scarborough Health Network,BR 3B PSYCH BIRCHMOUNT,REGISTERED PRACTICAL NURSE
2310,Scarborough Health Network,BR 3B PSYCH BIRCHMOUNT,SOCIAL WORKER - M.S.W.
2311,Scarborough Health Network,BR 3B PSYCH BIRCHMOUNT,UNIT CLERK II
2312,Scarborough Health Network,BR 3C MENTAL HEALTH,REGISTERED PRACTICAL NURSE
2313,Scarborough Health Network,C 10TH LEVEL PSYCHIATRY,REGISTERED NURSE
2314,Scarborough Health Network,C 10TH LEVEL PSYCHIATRY,REGISTERED PRACTICAL NURSE
2315,Scarborough Health Network,C 10TH LEVEL PSYCHIATRY,UNIT CLERK II
2316,Scarborough Health Network,C INPATIENT MED-PSYCH UNIT,REGISTERED NURSE
2318,Scarborough Health Network,C INPATIENT MED-PSYCH UNIT,UNIT CLERK II
2319,Scarborough Health Network,C MH DAY HOSPITAL,REGISTERED NURSE
2320,Scarborough Health Network,C MH OP,REGISTERED NURSE
2321,Scarborough Health Network,C MH OP,SECRETARY III
2322,Scarborough Health Network,C MH PSYCHOLOGY -DAY TREATMENT,PSYCHOLOGICAL ASSOCIATE
2323,Scarborough Health Network,C MH PSYCHOLOGY -DAY TREATMENT,PSYCHOMETRIST
2324,Scarborough Health Network,C PSYCHIATRIC EMERG,CHILD & YOUTH (INTAKE) WORKER
2325,Scarborough Health Network,C PSYCHIATRIC EMERG,"CRISIS WORKER, M.S.W."
2326,Scarborough Health Network,C PSYCHIATRIC EMERG,"SOCIAL WORKER, CRISIS WORKER M.S.W."
2327,Scarborough Health Network,C PSYCHIATRITSH C EMERG,REGISTERED NURSE
2329,Scarborough Health Network,C SP VOTES - PATHWAYS,RECREATION THERAPIST
2330,Scarborough Health Network,C SP VOTES - PATHWAYS,REGISTERED NURSE
2331,Scarborough Health Network,C SP VOTES - PATHWAYS,RESIDENTIAL COUNSELLOR
2332,Scarborough Health Network,C SP VOTES - PATHWAYS,SECRETARY III
2333,Scarborough Health Network,C SP VOTES M H SPECIAL HOMES,RESIDENTIAL COUNSELLOR
2334,Scarborough Health Network,C SP VOTES -MH SPEC. HOME II,RECREATION THERAPIST
2335,Scarborough Health Network,C SP VOTES -MH SPEC. HOME II,REGISTERED NURSE
2336,Scarborough Health Network,C SP VOTES -MH SPEC. HOME II,RESIDENTIAL COUNSELLOR
2337,Scarborough Health Network,C SP VOTES -MH SPEC. HOME II,SECRETARY III
1106,Peterborough Regional Health Center,AC CLINIC GERIATRIC GENERAL,"F/T PHYSIOTHERAPIST, PHYS.GAIN"
1111,Peterborough Regional Health Center,AC CLINIC METABOLIC DIAB ADULT,"F/T R.N., DIAB.CLIN.ADULT"
1119,Peterborough Regional Health Center,AC CLINIC ORTHO INTAKE,"P/T R.P.N., ORTHO INTAKE CL"
1130,Peterborough Regional Health Center,AC CLINIC SEXUAL ASSAULT DV,"F/T R.N., SEXUAL ASSAULT ROSTER"
1141,Peterborough Regional Health Center,AC DN HEMODIALYSIS IN-CENTRE,"P/T R.N., DIALYSIS"
1152,Peterborough Regional Health Center,AC DN PERITONEAL DIALYSIS,"F/T R.N., PERITONEAL DIALYSIS"
1163,Peterborough Regional Health Center,AC EMERGENCY,F/T DIRECTOR AC EMERGENCY
1174,Peterborough Regional Health Center,AC DN ONCOLOGY CHEMO,"F/T NURSE EDUC., ONCOLOGY"
1185,Peterborough Regional Health Center,AC DN ONCOLOGY CHEMO,F/T MANAGER 8
1196,Peterborough Regional Health Center,LAB ANATOMICAL PATHOLOGY,"F/T CROSS MLT, HISTOLOGY"
1207,Peterborough Regional Health Center,LAB CLINICAL CHEMISTRY,"F/T SR MLT(POC), CLIN.CHEMISTRY"
1218,Peterborough Regional Health Center,LAB CLINICAL MICROBIOLOGY,"P/T TECH 4, MICROBIOLOGY"
1228,Peterborough Regional Health Center,LAB TRANSFUSION MEDICINE,"P/T MLT, IMMUNOHAEMATOLOGY"
1229,Peterborough Regional Health Center,LAB TRANSFUSION MEDICINE,P/T TECHNICIAN 4
1230,Peterborough Regional Health Center,LAB TRANSFUSION MEDICINE,P/T TRANSFUSION SAFETY OFFICER
1231,Peterborough Regional Health Center,NV ECG,"F/T TECHN3, EKG"
1232,Peterborough Regional Health Center,AS RISK MGMT INFECT CONTROL,"F/T ANALYST, INFECTION PRVCNTL"
1233,Peterborough Regional Health Center,AS RISK MGMT INFECT CONTROL,"F/T ASSOC., INF.CONT./QA/PROC."
1234,Peterborough Regional Health Center,AS RISK MGMT INFECT CONTROL,"F/T MANAGER, INFECT/PREV."
1235,Peterborough Regional Health Center,AS RISK MGMT INFECT CONTROL,"F/T PSP, INFECT.CONTROL PRACT."
1236,Peterborough Regional Health Center,AS RISK MGMT INFECT CONTROL,"P/T ASSOC., INF.CONT./QA/PROC."
1237,Peterborough Regional Health Center,AS RISK MGMT INFECT CONTROL,P/T JR INFFECT.CTRL.PRACT
1238,Peterborough Regional Health Center,AC DN MEDICAL GENERAL,P/T R.P.N.
1239,Peterborough Regional Health Center,AS PATIENT FOOD SERVICES,"F/T AIDE, PT.FOOD SERV."
1240,Peterborough Regional Health Center,AS PATIENT FOOD SERVICES,"MANAGER, NUTRITION SERVICES"
1241,Peterborough Regional Health Center,AS PATIENT FOOD SERVICES,"P/T AIDE, PT.FOOD SERV."
1242,Peterborough Regional Health Center,COM STROKE STRATEGY,F/T ADV PRCT RN STROKE INT.
1243,Peterborough Regional Health Center,EDU IN SERVICE NURSING IP,F/T ADV PRCT RN ACUTE PAIN
1244,Peterborough Regional Health Center,EDU IN SERVICE NURSING IP,F/T ADV PRCT RN WOUND
1245,Peterborough Regional Health Center,EDU IN SERVICE NURSING IP,F/T NURSE EDUCATOR A3100
1246,Peterborough Regional Health Center,EDU IN SERVICE NURSING IP,F/T NURSE EDUCATOR B5200
1247,Peterborough Regional Health Center,EDU IN SERVICE NURSING IP,F/T NURSE EDUCATOR C2300
1248,Peterborough Regional Health Center,EDU IN SERVICE NURSING IP,F/T NURSE EDUCATOR D1400
1249,Peterborough Regional Health Center,EDU IN SERVICE NURSING IP,F/T NURSE EDUCATOR W3630
1250,Peterborough Regional Health Center,EDU IN SERVICE NURSING IP,F/T NURSE EDUCATOR W4200
1251,Peterborough Regional Health Center,EDU IN SERVICE NURSING IP,F/T NURSE EDUCATOR W6640
1252,Peterborough Regional Health Center,EDU IN SERVICE NURSING IP,P/T NURSE EDUCATOR W5700
1253,Peterborough Regional Health Center,IP CCC C2,DIRECTOR CARDIOV/STROKE/MEDNC
1254,Peterborough Regional Health Center,IP CCC C2,"F/T CLK.4, C2 CCC"
1255,Peterborough Regional Health Center,IP CCC C2,"F/T R.N., C2 CCC"
1256,Peterborough Regional Health Center,IP CCC C2,"F/T R.P.N., C2 CCC"
1257,Peterborough Regional Health Center,IP CCC C2,F/T RAI-MDS/FIM NURSE
2407,Scarborough Health Network,OR BOOKING,BOOKING CLERK OR
2408,Scarborough Health Network,POST ANAESTHETIC CARE UNIT,REGISTERED NURSE
2409,Scarborough Health Network,POST ANAESTHETIC CARE UNIT,UNIT CLERK 4
2410,Scarborough Health Network,PRE-ADMIT SERVICES,BOOKING CLERK 4
2411,Scarborough Health Network,PRE-ADMIT SERVICES,PRE-ADMIT CLERK 4
2412,Scarborough Health Network,SAME DAY SURGERY,REGISTERED NURSE
2413,Scarborough Health Network,SAME DAY SURGERY,UNIT CLERK 4
2415,Scarborough Health Network,SURGICAL SUITES,PATIENT CARE COORDINATOR
2416,Scarborough Health Network,SURGICAL SUITES,REGISTERED NURSE
2417,Scarborough Health Network,SURGICAL SUITES,REGISTERED NURSE FIRST ASSIST
2418,Scarborough Health Network,SURGICAL SUITES,REGISTERED PRACTICAL NURSE
2419,Scarborough Health Network,SURGICAL SUITES,UNIT CLERK 4
2420,Scarborough Health Network,DIVISION OF CRITICAL CARE,"MANAGER, RESPIRATORY SERVICES"
2421,Scarborough Health Network,C CARDIAC REHAB,"NURSE PRACTITIONER, CARDIAC CARE PROGRAM"
2422,Scarborough Health Network,C GAINS CLINIC,"NURSE PRACTITIONER, PAC PROGRAM"
2423,Scarborough Health Network,GAIN GERIATRIC CLINIC,NURSE PRACTITIONER
2424,Scarborough Health Network,NEPHROLOGY VISITS (DIALYSIS),NURSE PRACTITIONER
2426,Scarborough Health Network,BR RESPIRATORY SERVICES,REG. RESPIRATORY THERAPIST
2427,Scarborough Health Network,BR RESPIRATORY SERVICES,REGISTERED RESPIRATORY THERAPIST
2428,Scarborough Health Network,BR RESPIRATORY SERVICES,RESPIRATORY TECHNICIAN
2429,Scarborough Health Network,C 9E MEDICINE,NURSE PRACTITIONER
2430,Scarborough Health Network,C 9W MEDICINE,NP MEDICAL PROGRAM
2431,Scarborough Health Network,C CARDIAC CARE WARD,"NURSE PRACTITIONER, CARDIAC CARE PROGRAM"
2432,Scarborough Health Network,C CARDIAC CARE WARD,"NURSE PRACTITIONER, CCW"
2433,Scarborough Health Network,C EEG,"CARDIAC TECHNICIAN, CERTIFIED EEG"
2434,Scarborough Health Network,C ENTEROSTOMAL THERAPY,NP ENTEROSTOMAL THERAPY & WOUND CARE
2435,Scarborough Health Network,C ONCOLOGY OP -PEADS,"NURSE PRACTITIONER, ACUTE CARE ONC & PAED"
2437,Scarborough Health Network,DIVISION OF MEDICINE,NURSE PRACTITIONER
2438,Scarborough Health Network,EEG,EEG TECHNOLOGIST
2439,Scarborough Health Network,INTEGRATED STROKE UNIT-ACUTE,NURSE PRACTITIONER CENTENARY
2440,Scarborough Health Network,NEW GRADS GUARANTEETRAINING,REGISTERED PRACTICAL NURSE
2441,Scarborough Health Network,PROFESSIONAL PRACTICE,NURSE PRACTITIONER
2442,Scarborough Health Network,PULMONARY FUNCTION,REG. RESPIRATORY THERAPIST
2443,Scarborough Health Network,RESPIRATORY SERVICES,REG. RESPIRATORY THERAPIST
2444,Scarborough Health Network,SURGICAL SUITES,REG. RESPIRATORY THERAPIST
2445,Scarborough Health Network,TOWER 7 TCU MEDICINE,NP MEDICAL PROGRAM
2446,Scarborough Health Network,TOWER 7 TCU MEDICINE,NURSE PRACTITIONER
2448,Scarborough Health Network,C SP VOTES-EARLY INTER,SECRETARY III
2449,Scarborough Health Network,MH - MOBILE CRISIS,"MANAGER, MENTAL HEALTH"
2450,Scarborough Health Network,BR ADMITTING,REGISTRATION CLERK
2451,Scarborough Health Network,BR ENDOSCOPY,UNIT CLERK 4
2452,Scarborough Health Network,C REGISTRATION & ADMITTING,"MANAGER, ADMITTING & REGISTRATION"
2453,Scarborough Health Network,C REGISTRATION & ADMITTING,REGISTRATION CLERK
2454,Scarborough Health Network,C REGISTRATION & ADMITTING,"SUPERVISOR, PATIENT REGISTRATION"
2455,Scarborough Health Network,MSK LOWER BACK PAIN CLINIC,"MANAGER, LOW BACK PAIN"
2456,Scarborough Health Network,REGISTRATION,REGISTRATION CLERK
2457,Scarborough Health Network,SHN BR ASSESSMENT CLINIC,REGISTRATION CLERK
2459,Scarborough Health Network,BR AMBULATORY CARE,UNIT CLERK 4
2460,Scarborough Health Network,BR GENERAL MEDICAL CLINIC,CLERK 4
2461,Scarborough Health Network,C CARDIAC PROG ADMIN,SMOKING CESSATION COORDINATOR
2462,Scarborough Health Network,C CARDIAC REHAB,"MANAGER, CARDIOLOGY"
2463,Scarborough Health Network,C CARDIAC REHAB,SECRETARY II
2464,Scarborough Health Network,C DIABETES EDUCATION,SECRETARY III
2465,Scarborough Health Network,C FRACTURE CLINIC,UNIT CLERK
2466,Scarborough Health Network,C FRACTURE CLINIC,UNIT CLERK II
2467,Scarborough Health Network,C FRACTURE CLINIC,UNIT COORDINATOR
2468,Scarborough Health Network,C GAINS CLINIC,UNIT CLERK II
2470,Scarborough Health Network,C PAED OBESITY PROGRAM,SECRETARY III
2471,Scarborough Health Network,C PAEDIATRICS O/P,SECRETARY III
2472,Scarborough Health Network,C PHYSIOTHERAPY,SECRETARY II
2473,Scarborough Health Network,C PROFESSIONAL PRACTICE,CLINICAL PRACTICE LEADER
2474,Scarborough Health Network,C SHONIKER PSYCH O/P,SECRETARY III
2475,Scarborough Health Network,C SHONIKER PSYCH O/P,SENIOR MEDICAL SECRETARY
2476,Scarborough Health Network,C SURGICAL SPECIALTY CLINICS,SECRETARY II - SURGICAL CLINICS
2477,Scarborough Health Network,C WOMEN & CHILD PROG ADMIN,"DIRECTOR, WOMEN'S & CHILDREN'S HEALTH"
2478,Scarborough Health Network,CENTENARY ONCOLOGY,UNIT CLERK II
2479,Scarborough Health Network,DIABETES EDUCATION MOH,CLERK 4
2481,Scarborough Health Network,DIVISION MANAGEMENT SURGERY,"DIRECTOR, SURGERY & AMBULATORY CARE"
2482,Scarborough Health Network,DIVISION OF NEPHROLOGY,"DIRECTOR, CHRONIC DISEASE MGMT & NEPHROLOGY"
2483,Scarborough Health Network,DIVISION OF NEPHROLOGY,"MANAGER, NEPHROLOGY"
2484,Scarborough Health Network,DIVISION OF NEPHROLOGY,PATIENT CARE COORDINATOR
2485,Scarborough Health Network,GAIN GERIATRIC CLINIC,UNIT CLERK 4
2486,Scarborough Health Network,HEMO YEE HONG DIALYSIS,UNIT CLERK II
2487,Scarborough Health Network,HEMODIALYSIS CENTENARY,UNIT CLERK II
2488,Scarborough Health Network,HEMODIALYSIS UNIT - CP2,UNIT CLERK II
2489,Scarborough Health Network,HOME PERITONEAL DIALYSIS TEACH,UNIT CLERK II
2490,Scarborough Health Network,MSK LOWER BACK PAIN CLINIC,CLERK 4
2492,Scarborough Health Network,NEPHROLOGY VISITS (DIALYSIS),UNIT CLERK II
2493,Scarborough Health Network,ORTHOPAEDIC CLINIC,CLERK 4
2494,Scarborough Health Network,ORTHORAPID ASSESSMENT CLINIC,SECRETARY II
2495,Scarborough Health Network,PAEDIATRIC DEVELOPMENTAL SCREENING,SECRETARY II
2496,Scarborough Health Network,PHYSIOTHERAPY,SECRETARY 2
2497,Scarborough Health Network,PLASTICS CLINIC,CLERK 4
2498,Scarborough Health Network,PLASTICS CLINIC,PATIENT CARE COORDINATOR
2499,Scarborough Health Network,PROFESSIONAL PRACTICE,"MANAGER, ALLIED HEALTH"
2500,Scarborough Health Network,PULMONARY FUNCTION,SECRETARY II
2501,Scarborough Health Network,SATELLITE HEMODIALYSIS UNIT,UNIT CLERK 4
2503,Scarborough Health Network,STROKE PREVENTION CLINIC,CLERK 4
2504,Scarborough Health Network,STROKE PREVENTION CLINIC,UNIT CLERK II
2505,Scarborough Health Network,SUBSTANCE ABUSE PROGRAM,SECRETARY III
2506,Scarborough Health Network,C LDRP,REGISTERED NURSE
2507,Scarborough Health Network,BR NON STRESS TEST,PATIENT CARE COORDINATOR
2508,Scarborough Health Network,C LDRP,REGISTERED NURSE - GENERAL BIRCHMOUNT
2509,Scarborough Health Network,C LDRP,REGISTERED PRACTICAL NURSE
2510,Scarborough Health Network,C LDRP,UNIT CLERK II
2511,Scarborough Health Network,C LDRP,UNIT COORDINATOR
2512,Scarborough Health Network,C WOMEN & CHILD PROG ADMIN,"MANAGER, WOMEN'S & CHILDREN'S HEALTH"
2514,Scarborough Health Network,FAMILY MATERNITY CENTRE,PATIENT CARE COORDINATOR
2515,Scarborough Health Network,FAMILY MATERNITY CENTRE,REGISTERED NURSE
2516,Scarborough Health Network,FAMILY MATERNITY CENTRE,REGISTERED PRACTICAL NURSE
2517,Scarborough Health Network,FAMILY MATERNITY CENTRE,UNIT CLERK II
2518,Scarborough Health Network,C PHA CLINICAL,PHARMACIST
2519,Scarborough Health Network,C PHA DRUG PROC. AND DISTRIB.,PHARMACY TECHNICIAN
2520,Scarborough Health Network,CENTENARY ONCOLOGY,PHARMACIST
2521,Scarborough Health Network,CENTENARY ONCOLOGY,PHARMACY TECH
2522,Scarborough Health Network,PHARMACY CLINICAL,PHARMACIST
1258,Peterborough Regional Health Center,IP CCC C2,"P/T NON-R.P.N., C2 CCC"
1259,Peterborough Regional Health Center,IP CCC C2,"P/T R.N., C2 CCC"
1260,Peterborough Regional Health Center,IP CCC C2,"P/T R.P.N., C2 CCC"
1261,Peterborough Regional Health Center,IP CCC GABU,F/T PSYCHOG. RES. CONSULTANT
1262,Peterborough Regional Health Center,IP CCC GABU,"F/T R.N., GABU"
1263,Peterborough Regional Health Center,IP CCC GABU,"F/T R.P.N., GABU"
1264,Peterborough Regional Health Center,IP CCC GABU,"MANAGER, GABU, GAIN, FLOAT POOL"
1265,Peterborough Regional Health Center,IP CCC GABU,"P/T CLK 4, GABU"
1266,Peterborough Regional Health Center,IP CCC GABU,"P/T R.P.N., GABU"
1267,Peterborough Regional Health Center,IP CLINICAL PROF PRACTICE,F/T ANALYST 3
1268,Peterborough Regional Health Center,IP CLINICAL PROF PRACTICE,"F/T MGR, COLLAB PRACTICE"
1269,Peterborough Regional Health Center,IP CLINICAL PROF PRACTICE,"F/T R.N., COLLABORATIVE PRACTICE"
1270,Peterborough Regional Health Center,IP CLINICAL PROF PRACTICE,F/T SUPERVISOR 5
1271,Peterborough Regional Health Center,IP CLINICAL PROF PRACTICE,FT COLL.PRACT.SPECIALIST
1272,Peterborough Regional Health Center,IP CLINICAL PROF PRACTICE,P/T ASSISTANT 2
1273,Peterborough Regional Health Center,IP CLINICAL PROF PRACTICE,"P/T R.N., WOUND CARE, COLL PRA"
1274,Peterborough Regional Health Center,IP HOSPITAL ELDER LIFE PROGRAM,F/T ELDER LIFE SPECIALIST
1275,Peterborough Regional Health Center,IP HOSPITAL ELDER LIFE PROGRAM,F/T SENIORS LEAD
1276,Peterborough Regional Health Center,IP ICU A3,"F/T CLERK.3, A3 ICU"
1277,Peterborough Regional Health Center,IP ICU A3,"F/T CLK.4, A3 ICU"
1278,Peterborough Regional Health Center,IP ICU A3,"F/T R.N., A3 ICU"
1279,Peterborough Regional Health Center,IP ICU A3,"MANAGER, A3 ICU"
1280,Peterborough Regional Health Center,IP ICU A3,"P/T AIDE/ATTD., IP CMB ICU A3"
1281,Peterborough Regional Health Center,IP ICU A3,"P/T CLERK.3, A3 ICU"
1282,Peterborough Regional Health Center,IP ICU A3,"P/T DATA CLERK 2, A3 ICU"
1283,Peterborough Regional Health Center,IP ICU A3,"P/T R.N., A3 ICU"
1284,Peterborough Regional Health Center,IP MEDICAL A2,"F/T CLK.4, IP MEDICAL GNRL A2"
1285,Peterborough Regional Health Center,IP MEDICAL A2,"F/T R.N., MEDICAL GENERAL A2"
1286,Peterborough Regional Health Center,IP MEDICAL A2,"F/T R.P.N., MEDICAL GENERAL A2"
1287,Peterborough Regional Health Center,IP MEDICAL A2,"P/T CLK.3, IP MEDICAL GNRL A2"
1288,Peterborough Regional Health Center,IP MEDICAL A2,"P/T CLK.4, IP MEDICAL GNRL A2"
1289,Peterborough Regional Health Center,IP MEDICAL A2,"P/T R.N., MEDICAL GENERAL A2"
1290,Peterborough Regional Health Center,IP MEDICAL A2,"P/T R.P.N., MEDICAL GENERAL A2"
1291,Peterborough Regional Health Center,IP MEDICAL A4,"F/T CLERK 3, A4 TELEMETRY"
1292,Peterborough Regional Health Center,IP MEDICAL A4,"F/T CLK.4, A4 TELEMETRY CARDIO"
1293,Peterborough Regional Health Center,IP MEDICAL A4,"F/T MANAGER, A4 & REHABCLINICS"
1294,Peterborough Regional Health Center,IP MEDICAL A4,"F/T R.N., A4 TELEMETRY"
1295,Peterborough Regional Health Center,IP MEDICAL A4,"F/T R.P.N., A4 TELEMETRY"
1296,Peterborough Regional Health Center,IP MEDICAL A4,"P/T CLERK 3, A4 TELEMETRY"
1304,Peterborough Regional Health Center,IP MEDICAL B3/C3 COMBINED,"F/T R.N., IP MEDICAL B3/C3"
1315,Peterborough Regional Health Center,IP MEDICAL B4,"P/T AIDE/ATTD., B4 IP MED NE"
1326,Peterborough Regional Health Center,IP MEDICAL B6,"P/T NON R.P.N, B6"
1337,Peterborough Regional Health Center,IP MEDICAL NURSING POOL,"F/T R.N., I.P.MED.NRSG.POOL"
1348,Peterborough Regional Health Center,IP REHABILITATION COMBINED,"P/T NON-R.P.N.,  A2 REHAB IP"
1359,Peterborough Regional Health Center,IP SURGICAL ORTHOPEDIC A5,"F/T CLERK 3, A5"
1370,Peterborough Regional Health Center,TH CHILD LIFE,"F/T RECREATIONIST, A6 MAT.CHIL"
1381,Peterborough Regional Health Center,TH PASTORAL CARE,"P/T CHAPLAIN, PASTORAL CARE"
1392,Peterborough Regional Health Center,TH THERAPEUTIC RECREATION,"P/T RECREATIONIST, C2 THERAPY"
1403,Peterborough Regional Health Center,MI CARDIAC CATH INTERVENTIONAL,"F/T MANAGER, CATH LAB, OT, PT"
1413,Peterborough Regional Health Center,AS HOUSEKEEPING,"DIRECTOR, AS HOUSEKEEPING"
1414,Peterborough Regional Health Center,AS HOUSEKEEPING,"F/T ATTENDANT, HOUSEKEEPING"
1415,Peterborough Regional Health Center,AS HOUSEKEEPING,"F/T MANAGER, ENV.SERV."
1416,Peterborough Regional Health Center,AS HOUSEKEEPING,"F/T SUPERVISOR, ENVNMTL SRVCES"
1417,Peterborough Regional Health Center,AS HOUSEKEEPING,"P/T ATTENDANT, HOUSEKEEPING"
1418,Peterborough Regional Health Center,AS HOUSEKEEPING,"P/T SUPERVISOR, ENVNMTL SRVCES"
1419,Peterborough Regional Health Center,AS LINEN,"F/T ATTENDANT 2, LINEN"
1420,Peterborough Regional Health Center,AS LINEN,"F/T TRANSPORT ATTENDANT, LINEN"
1421,Peterborough Regional Health Center,AS LINEN,PT ATTENDANT 2 LINEN
1422,Peterborough Regional Health Center,AS MAT MGMT REPROCESSING SPD,"P/T TRANSPORT ATTENDANT, SPD"
1423,Peterborough Regional Health Center,AS EXECUTIVE OFFICE,V.P. & CHIEF FINANCIAL OFFICER
1424,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,"CONTROLLER, CORPORATE SERV."
1425,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,"DIRECTOR, FINANCE"
1426,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,"F/T CLERK 4, FINANCE"
1427,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,F/T FINANCIAL ANALYST
1428,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,F/T FINANCIAL ANALYST 5
1429,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,F/T MGR FIN PERFORM & REPORT
1430,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,F/T PRGM BUSINESS SUPPORT SPST
1431,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,"F/T RC4 CLERK 3, FINANCE"
1432,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,"F/T SUPERVISOR, ACCOUNTING"
1433,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,"P/T CLERK 4, FINANCE"
1434,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,P/T FINANCE LEAD
1435,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,P/T FINANCIAL ANALYST
1436,Peterborough Regional Health Center,AS FINANCE GENERAL ACCOUNTING,"P/T RC4 CLERK 3, FINANCE"
1437,Peterborough Regional Health Center,AS HEALTH RECORDS,"F/T CLK.3, HEALTH REC."
1438,Peterborough Regional Health Center,AS HEALTH RECORDS,"F/T CLK.4, HEALTH REC.  RC5"
1439,Peterborough Regional Health Center,AS HEALTH RECORDS,F/T CLK.6.HLT RECORDS PRACTR
